text,stance
Toe prints AND tread marks. That's some fancy footwear.,criticizes the fake news
"The most of the weight would be under the big toe (though the ""big toe"" isn't very a big toe at all lmao). That's the least looking footprint I've seen yet",criticizes the fake news
I’ve always wondered why it’s always one single footprint.  Wouldn’t you expect a trail of them?  More than one at the very least?,criticizes the fake news
Doesn't look fake at all!,believes the fake news
That is funny - respect to the creators of that.,criticizes the fake news
That's it im officially stupid now! All these posts have made me dumber!,criticizes the fake news
Proof of giants or perfect illusion carved by lava and time. Definitely one of those two choices,neutral
Well the giant obviously has skin with square scales.  Dur.  😁,criticizes the fake news
The giant only needed to take one step on Earth to nope out back into Giantland,criticizes the fake news
Six toes!,criticizes the fake news
"ok, but is it made with peach cream and filling?",criticizes the fake news
Sparked a debate for me. How stupid is the average person who believes this?,criticizes the fake news
https://external-fco2-1.xx.fbcdn.net/emg1/v/t13/487042408393866033?url=https%3A%2F%2Fmedia1.tenor.co%2Fm%2F3ySbY2xHpBMAAAAC%2Faliens.gif&fb_obo=1&utld=tenor.co&stp=dst-emg0_q75_s128x128_tt6&_nc_gid=8QRomaGbsFea3pcBx_gJ_w&_nc_oc=Adk4_VDY4Jei1fWv9v-1IzUwzmCgxYN4BpvG_jCLX5Mizq-Aa74HMYHaudlgBvpnMIw&ccb=13-1&oh=06_Q3-4ARmO6PNtNLP4_WzPEEPFk5RIjr290Ag2TLKBF0C1KEl2&oe=690FED4A&_nc_sid=c97757,neutral
Amazing after an area has inhabited for thousands of years they just found this sitting perfectly on the surface in 2025!,criticizes the fake news
My bet is that it was Zeus,criticizes the fake news
One single footprint on its own,criticizes the fake news
"-Thomas Valentine It is in a way, since Sanskrit (which was established early) has a large influence on Hindi.",criticizes the fake news
"-Thomas Valentine it absolutely is. That the beauty of the stupidity of Aryan superiority nonsense, and something I've weaponized against neo-Nazis ever since I was in high school.

""Aryan Guard"": thank you so much for your protection. It's so wonderful to see people who recognize my value

""Aryan Brotherhood"": EYYYY, my brother!

I may have gotten in some yelling matches and scuffles doing this, but they were worth it.",criticizes the fake news
"-Thomas Valentine also worth pointing out that the Aryavarta (""Land of the Aryans"", as it were) was on the Indian Subcontinent (modern day Pakistan and in both parts of modern day Punjab)",criticizes the fake news
"-Thomas Valentine given that Aryan refers to people from Iran, it is a lot closer to India than Germany",criticizes the fake news
--Karel Havlíček And proto-germanic had a large influence on English. The classification of languages has little to do with the fact that they've all been developing and evolving regardless of whether we randomly decided to call then something else at some point. It just means we have more details about those developments. An alien with little detailed knowledge about Europe might say that Latin was spoken in Europe from 1000 BCE to the modern day.,criticizes the fake news
--Jaspaul Sandhu never a bad thing to punch a nazi,criticizes the fake news
--Jaspaul Sandhu I wish I could pull off this particular line of reasoning but as a person of German descent I fear it might come off weird? But I absolutely love that you’re doing it! ￼,criticizes the fake news
"--Kate Kaboom this particular line would be challenging if you're not ethnically from the Subcontinent, but the good news is that neo-Nazis are stupid in so many ways, that there are plenty of lines to ridicule them on",criticizes the fake news
"--Jaspaul Sandhu wasn't Aryavarta somewhere in Chorasan or Kwarasmia?

but nice one for the Aryan brotherhood 😂👌🏼
भ्राता (bhrātā)!",criticizes the fake news
"--Marko Perkovic it's been a long time since AP World History, but I don't recall that being the case. I could be wrong though",criticizes the fake news
"--Jaspaul Sandhu Sorry I was confusing it with Airyanem Vaejah which is most likely in/or around Chorasmia, and Aryavarta or Brahmavarta is in fact in the north of the Indian subcontinent,

the former being both the ancient homeland of the Indo-Iranic early Aryas and with later ethnogenesis becoming the original homeland of the Iranic people, the Airiia",criticizes the fake news
Sepehr is a Nazi. Or so close it doesn't matter.,neutral
-David Higgins well we can't say if he is or isn't... He is 😂.,neutral
-David Higgins if he steps like a goose...,neutral
-David Higgins Neo-Nazis. Worse than Nazis as the actual Nazis did not have 70 years of history to see how shitty of an idea it really was.,neutral
-David Higgins This is literally what the Nazis believed in.,criticizes the fake news
"-David Higgins seems much more likely to me that he is a disinfo purveyor/profiteer desiring to fit in to the current misdirective neo-con conspiracy space promoting the age-old ""jewish conspiracy"" from a ridiculous mystical/""gnostic"" angle, considering his father is a Jewish filmmaker",criticizes the fake news
"-David Higgins Jesus christ, I never heard of this guy until now, and the first FIVE POSTS of his tick all the boxes:

- boomer meme about white people being boxed up and apparently in the 'minority' now
- something about the great replacement sort of sh.it
- Nazi UFO/Antarctica conspiracy that goes around occult sort of groups
- actual pagan occult post
- now the above sh.it on Aryan mythologising

Yep, if not a nazi, then he's certainly very much a crypto fascist, or way down that pipeline...",criticizes the fake news
-David Higgins He is Jewish actually,neutral
"--Cody Zabroski Oh, he’s a Neo Nazi dude, there is no doubt",neutral
"--Marcus Vallée before I realized he was, I thought his ""documentaries"" were just amazing worldbuilding for a fantasy novel.",criticizes the fake news
"--Fingers Leandre Delaurus and the real Nazis were also acting out of the trauma of WWI. doesn't excuse what they did, but they were f*cked in the head.",neutral
"--Daniel Yeow it’s not much of an excuse, but some just got along with the cool music, or simply did not resist or just enjoying the spiffy outfits and swallowed the cool-aid. But they did not join knowing how fuckingly bad of an idea it was. Neo Nazis RESEARCH how fucking bad of an idea it is before joining.",neutral
"--Adrian Burt exactly. He might not have a Nazi party membership card, but he'd absolutely be able to get one.",neutral
"I'm a pacifist, but Nazis shouldn't feel safe like that...",neutral
"-Marijn Tak Im a pacifist, but",neutral
"-Marijn Tak  I'm not a pacifist, but don't hold anything against you for being one. nazis deserve to exist in abject terror unless they recant and actually change.",neutral
"-Marijn Tak yes, it's not about enjoying or preferring violence, it's about survival. If we let nazi feel safe then they will take over. Paradox of intolerance and all that.",neutral
--Jean Merlier I can both not believe in power through violence and think Nazis shouldn't have the confidence to say their malicious nonsense without repercussion; I'm flexible like that. 😜,neutral
"--Jean Merlier Google ""intolerance paradox"".",neutral
--Jack Douglas intolerance paradox is bullshit,neutral
"--Cancehladoo Da Silva therefore all philosophy is bunkum, according to you...",neutral
--Jack Douglas lmao,neutral
"--Cancehladoo Da Silva ok, fascist",neutral
--Cassandra Arjay neofascist*,neutral
--Marijn Tak It's a play on I'm not racist but. Someone could reply I can both not believe in superiority of a select race and think White people shouldn't have the confidence to say their malicious nonsense without repercussion; I'm flexible like that. I like looking at structure of argument and thought more then the arguments and thought themselves. I would object to 'him not racist' but on the same grounds of internal consistency. Now if someone is not x but and that's consistent now that's interesting as it's a totally new paradigm.,neutral
"--Jack Douglas Tolerance and Intolerance has many faces indeed hard to sift through. Always been fascinated with the current definition as well as the modifications of hate speech for that reason see article 319 of Canadian criminal code for details. Like we should've tolerated witches during antiquity but we shouldn't tolerate Nazi ideology now. That's not consistent. Most people critiquing the Nazi would agree that persecution of Witch, Non-Christian, current persecution of Muslim in China, ect. all those are considered bad by the same person who are considering good the persecution of Nazi. See Albigensian massacre crusade of Pope Innocent 3 (can't make this shit up)",neutral
--Cancehladoo Da Silva define your therms.,neutral
--Therms?,neutral
--Jean Merlier no,neutral
